valid score sequences on n=8: 167
  score [0, 1, 2, 3, 4, 5, 6, 7]: 1 iso classes  (13.2s elapsed)
  score [0, 1, 2, 3, 4, 6, 6, 6]: 1 iso classes  (33.6s elapsed)
  score [0, 1, 2, 3, 5, 5, 5, 7]: 1 iso classes  (56.4s elapsed)
  score [0, 1, 2, 3, 5, 5, 6, 6]: 1 iso classes  (79.8s elapsed)
  score [0, 1, 2, 4, 4, 4, 6, 7]: 1 iso classes  (103.1s elapsed)
  score [0, 1, 2, 4, 4, 5, 5, 7]: 1 iso classes  (126.6s elapsed)
  score [0, 1, 2, 4, 4, 5, 6, 6]: 2 iso classes  (150.1s elapsed)
  score [0, 1, 2, 4, 5, 5, 5, 6]: 3 iso classes  (173.6s elapsed)
  score [0, 1, 2, 5, 5, 5, 5, 5]: 1 iso classes  (186.2s elapsed)
  score [0, 1, 3, 3, 3, 5, 6, 7]: 1 iso classes  (198.7s elapsed)
  score [0, 1, 3, 3, 3, 6, 6, 6]: 1 iso classes  (211.3s elapsed)
  score [0, 1, 3, 3, 4, 4, 6, 7]: 1 iso classes  (224.0s elapsed)
  score [0, 1, 3, 3, 4, 5, 5, 7]: 2 iso classes  (236.7s elapsed)
  score [0, 1, 3, 3, 4, 5, 6, 6]: 4 iso classes  (249.4s elapsed)
  score [0, 1, 3, 3, 5, 5, 5, 6]: 3 iso classes  (262.0s elapsed)
  score [0, 1, 3, 4, 4, 4, 5, 7]: 3 iso classes  (274.6s elapsed)
  score [0, 1, 3, 4, 4, 4, 6, 6]: 3 iso classes  (287.1s elapsed)
  score [0, 1, 3, 4, 4, 5, 5, 6]: 12 iso classes  (299.6s elapsed)
  score [0, 1, 3, 4, 5, 5, 5, 5]: 4 iso classes  (312.0s elapsed)
  score [0, 1, 4, 4, 4, 4, 4, 7]: 1 iso classes  (324.4s elapsed)
  score [0, 1, 4, 4, 4, 4, 5, 6]: 4 iso classes  (336.8s elapsed)
  score [0, 1, 4, 4, 4, 5, 5, 5]: 5 iso classes  (349.2s elapsed)
  score [0, 2, 2, 2, 4, 5, 6, 7]: 1 iso classes  (361.5s elapsed)
  score [0, 2, 2, 2, 4, 6, 6, 6]: 1 iso classes  (373.9s elapsed)
  score [0, 2, 2, 2, 5, 5, 5, 7]: 1 iso classes  (386.2s elapsed)
  score [0, 2, 2, 2, 5, 5, 6, 6]: 1 iso classes  (398.5s elapsed)
  score [0, 2, 2, 3, 3, 5, 6, 7]: 1 iso classes  (410.9s elapsed)
  score [0, 2, 2, 3, 3, 6, 6, 6]: 1 iso classes  (423.2s elapsed)
  score [0, 2, 2, 3, 4, 4, 6, 7]: 2 iso classes  (435.5s elapsed)
  score [0, 2, 2, 3, 4, 5, 5, 7]: 4 iso classes  (447.9s elapsed)
  score [0, 2, 2, 3, 4, 5, 6, 6]: 8 iso classes  (460.2s elapsed)
  score [0, 2, 2, 3, 5, 5, 5, 6]: 6 iso classes  (472.6s elapsed)
  score [0, 2, 2, 4, 4, 4, 5, 7]: 3 iso classes  (485.0s elapsed)
