anum	group	name	role
A000005	supporting	d(n) (also called tau(n) or sigma_0(n)), the number of divisors of n.	rectangles by area, the bottom rung of the convex-polyomino ladder
A000009	supporting	Expansion of Product_{m >= 1} (1 + x^m); number of partitions of n into distinct parts; number of partitions of n into odd parts.	multiset partitions c* of one element repeated n times (distinct-part partitions)
A000032	metallic	Lucas numbers beginning at 2: L(n) = L(n-1) + L(n-2), L(0) = 2, L(1) = 1.	Lucas numbers (companion of Fibonacci)
A000041	supporting	a(n) is the number of partitions of n (the partition numbers).	Ferrers diagrams by area
A000045	count	Fibonacci numbers: F(n) = F(n-1) + F(n-2) with F(0) = 0 and F(1) = 1.	tree castles of height 2 (T_2(w) = F_{w+2}); Fibonacci in prime-castle count
A000073	count	Tribonacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) for n >= 3 with a(0) = a(1) = 0 and a(2) = 1.	bounded-height castles by area, height ≤ 3: tribonacci, `=A000073(A+2)`
A000078	count	Tetranacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) + a(n-4) for n >= 4 with a(0) = a(1) = a(2) = 0 and a(3) = 1.	bounded-height castles by area, height ≤ 4: tetranacci, `=A000078(A+3)`
A000079	supporting	Powers of 2: a(n) = 2^n.	powers of 2 (P_even(2,L) = 2^L)
A000124	supporting	Central polygonal numbers (the Lazy Caterer's sequence): n(n+1)/2 + 1; or, maximal number of pieces formed when slicing a pancake with n cuts.	unimodal height-2 castles `1 + C(w+1,2)`, the `g -> infinity` limit of the `h=2` tower-spacing row
A000129	count	Pell numbers: a(0) = 0, a(1) = 1; for n > 1, a(n) = 2*a(n-1) + a(n-2).	anchored 1-smooth height-≤3 castle strip, `P_{w+1}` (the Pell castle strip); integer realization of 1 + √2
A000142	supporting	Factorial numbers: n! = 1*2*3*4*...*n (order of symmetric group S_n, number of permutations of n letters).	rainbow castles: exactly h! at width h
A000217	supporting	Triangular numbers: a(n) = binomial(n+1,2) = n*(n+1)/2 = 0 + 1 + 2 + ... + n.	height-2 castles whose second row is a single run; F(4,2) = C(5,2) = 10
A000225	count	a(n) = 2^n - 1. (Sometimes called Mersenne numbers, although that name is usually reserved for A001348.)	total height-2 castles (Mersenne): F(w,2) + odd(w,2) = 2^w - 1
A000447	count	a(n) = 1^2 + 3^2 + 5^2 + 7^2 + ... + (2*n-1)^2 = n*(4*n^2 - 1)/3.	|P(2m+1,4)| bisection: 4·A000447 = A199833
A000568	supporting	Number of outcomes of unlabeled n-team round-robin tournaments.	ambient count for unique tournaments; A000568(8) = 6880 is the isomorphism-class count the tree-castle bijection was checked against
A000570	count	Number of tournaments on n nodes determined by their score vectors.	tree castles of height 4 by area: T_(h=4)(A) = A000570(A+1); Tetali's classification of the four basic unique tournaments (sizes 1, 3, 4, 5) is proved in [[tetali-1998-unique-tournaments](pages/tetali-1998-unique-tournaments.md)] (JCTB 72:157-159, 1998), ingested to `raw/`
A000571	supporting	Number of different score sequences that are possible in an n-team round-robin tournament.	upper bound on unique tournaments u_n ≤ A000571(n), equality through n = 4
A000700	supporting	Expansion of Product_{k>=0} (1 + x^(2k+1)); number of partitions of n into distinct odd parts; number of self-conjugate partitions; number of symmetric Ferrers graphs with n nodes.	height-signed Ferrers diagrams by area, `(-1)^n A000700(n)`
A000749	supporting	a(n) = 4*a(n-1) - 6*a(n-2) + 4*a(n-3), n > 3, with a(0)=a(1)=a(2)=0, a(3)=1.	sum of every 4th binomial (hyperbolic family, k=3 residue)
A000930	count	Narayana's cows sequence: a(0) = a(1) = a(2) = 1; thereafter a(n) = a(n-1) + a(n-3).	tree castles of height 2 by area: T_(h=2)(A) = A000930(A+1)
A000931	plastic	Padovan sequence (or Padovan numbers): a(n) = a(n-2) + a(n-3) with a(0) = 1, a(1) = a(2) = 0.	Padovan (plastic Fibonacci): a(n) = a(n-2) + a(n-3)
A001035	supporting	Number of partially ordered sets ("posets") with n labeled elements (or labeled acyclic transitive digraphs).	strip rules whose half-column has nonnegative weights: 3, 19, 219 at heights 2, 3, 4; the rule is a poset on the heights (fractional-width-and-height)
A001045	count	Jacobsthal sequence (or Jacobsthal numbers): a(n) = a(n-1) + 2*a(n-2), with a(0) = 0, a(1) = 1; also a(n) = nearest integer to 2^n/3.	tree castles of height 3: T_3(w) = J_{w+2} (Jacobsthal)
A001047	count	a(n) = 3^n - 2^n.	h^w - (h-1)^w at h=3: total h=3 castles
A001076	metallic	Denominators of continued fraction convergents to sqrt(5).	denominators of CF convergents to √5; copper Fibonacci-3 sequence
A001077	metallic	Numerators of continued fraction convergents to sqrt(5).	numerators of CF convergents to √5
A001168	supporting	Number of fixed polyominoes with n cells.	fixed polyominoes
A001169	supporting	Number of board-pile polyominoes with n cells.	board-pile polyominoes (horizontally convex)
A001235	supporting	Taxi-cab numbers: sums of 2 cubes in more than 1 way.	1729 = F(6,4) is the first term; no other taxicab number is a castle count for w,h <= 40
A001263	count	Triangle of Narayana numbers T(n,k) = C(n-1,k-1)*C(n,k-1)/k with 1 <= k <= n, read by rows. Also called the Catalan triangle.	tower Narayana polynomial coefficients
A001333	metallic	Pell-Lucas numbers: numerators of continued fraction convergents to sqrt(2).	numerators of CF convergents to √2 (Pell-Lucas)
A001353	count		sandpile group order (spanning trees) of the 2-wide ladder castle (2,...,2) of width n: |K| = A001353(n), cyclic
A001519	count	a(n) = 3*a(n-1) - a(n-2) for n >= 2, with a(0) = a(1) = 1.	convex castles (stack polyominoes) by semi-perimeter: anti-diagonal sums of C(2h+w-3, w-1)
A001523	count	Number of stacks, or planar partitions of n; also number of weakly unimodal compositions of n.	convex castles by area (weakly unimodal compositions)
A001591	count	Pentanacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) + a(n-4) + a(n-5), a(0)=a(1)=a(2)=a(3)=0, a(4)=1.	bounded-height castles by area, height ≤ 5: pentanacci, `=A001591(A+4)`
A001608	plastic	Perrin sequence (or Perrin numbers, or Ondrej Such sequence): a(n) = a(n-2) + a(n-3) with a(0) = 3, a(1) = 0, a(2) = 2.	Perrin (plastic Lucas / trace)
A001803	supporting	Numerators in expansion of (1 - x)^(-3/2).	numerators of 2w C(2w,w)/4^w = B_{1/2}(box) / h, the half-order block count of a box castle (fractional-block-count)
A001924	supporting	Apply partial sum operator twice to Fibonacci numbers.	one-peak castles of area n+1: (1^a, X, 1^b) with X free of height-1 columns
A002203	metallic	Companion Pell numbers: a(n) = 2*a(n-1) + a(n-2), a(0) = a(1) = 2.	companion Pell (trace of Pell)
A002426	supporting	Central trinomial coefficients: largest coefficient of (1 + x + x^2)^n.	unconstrained U/R/D words returning to height 0; Motzkin is the ballot-restricted version
